series,outcome,model,origin,h,actual,pred,lo,hi,err,abs_err,ape,covered,mase_scale,scaled_err
Low income,DALY,ARIMA,2013,3,86558.57414685565,85532.85465516933,81958.2183011307,89107.49100920795,1025.7194916863227,1025.7194916863227,1.1850004483046157,1,1604.062166011805,0.6394512091988174
Low income,DALY,ARIMA,2013,4,91900.33145101141,89537.4551812902,84304.72336328407,94770.18699929635,2362.876269721208,2362.876269721208,2.5711292140233115,1,1604.062166011805,1.4730577902700925
Low income,DALY,ARIMA,2013,5,97482.08692846051,93542.05570741108,86456.903332304,100627.20808251816,3940.0312210494303,3940.0312210494303,4.041800237556377,1,1604.062166011805,2.456283368895588
Low income,DALY,ARIMA,2013,6,103816.67533406155,97546.65623353196,88433.08597191142,106660.2264951525,6270.019100529593,6270.019100529593,6.039510589559828,1,1604.062166011805,3.9088379698642237
Low income,DALY,Naive,2013,1,77614.70469012935,73519.05307680668,69786.26406740707,77251.84208620629,4095.6516133226687,4095.6516133226687,5.276901625374004,0,1604.062166011805,2.5532998035267713
Low income,DALY,Naive,2013,2,81876.13440425383,73519.05307680668,68240.09223423652,78798.01391937684,8357.081327447144,8357.081327447144,10.206980811020014,0,1604.062166011805,5.209948532247622
Low income,DALY,Naive,2013,3,86558.57414685565,73519.05307680668,67053.67285859185,79984.43329502152,13039.52107004897,13039.52107004897,15.064389863823383,0,1604.062166011805,8.129062168749517
Low income,DALY,Naive,2013,4,91900.33145101141,73519.05307680668,66053.47505800746,80984.6310956059,18381.278374204732,18381.278374204732,20.00131891145909,0,1604.062166011805,11.459205736337688
Low income,DALY,Naive,2013,5,97482.08692846051,73519.05307680668,65172.28310612505,81865.82304748832,23963.033851653832,23963.033851653832,24.58198691339021,0,1604.062166011805,14.938968301480081
Low income,DALY,Naive,2013,6,103816.67533406155,73519.05307680668,64375.62468630855,82662.48146730481,30297.622257254872,30297.622257254872,29.183772413981767,0,1604.062166011805,18.88805988896561
Low income,DALY,Drift,2013,1,77614.70469012935,75081.18801610333,72850.93305420813,77311.44297799854,2533.5166740260174,2533.5166740260174,3.264222526054676,0,1604.062166011805,1.5794379592688257
Low income,DALY,Drift,2013,2,81876.13440425383,76643.32295539997,73424.22719887074,79862.4187119292,5232.811448853856,5232.811448853856,6.391131539036103,0,1604.062166011805,3.2622248437317394
Low income,DALY,Drift,2013,3,86558.57414685565,78205.45789469662,74184.80858346104,82226.1072059322,8353.11625215903,8353.11625215903,9.650247054655841,0,1604.062166011805,5.207476635975689
